SG_13_2_Mean_P,SG_3_3_Mean_P,SG_5_3_Power,SG_11_4_Power,SG_11_2_Mean_P,SG_9_2_Mean_P,SG_3_4_Mean_P,SG_9_4_Mean_P,SG_9_4_Power,SG_13_4_Power,SG_5_2_Mean_P,SG_9_2_Power,Width,Original_Power,SG_5_3_Mean_P,SG_7_2_Power,SG_5_4_Mean_P,SG_3_2_Mean_P,SG_5_4_Power,SG_13_3_Mean_P,SG_7_2_Mean_P,SG_9_3_Mean_P,SG_3_2_Power,SG_11_2_Power,SG_11_3_Mean_P,Amplitude,SG_7_3_Power,SG_11_4_Mean_P,SG_3_4_Power,Original_Mean_P,SG_13_2_Power,SG_9_3_Power,SG_13_4_Mean_P,SG_11_3_Power,SG_7_4_Mean_P,SG_5_2_Power,SG_13_3_Power,SG_7_3_Mean_P,SG_7_4_Power,SG_3_3_Power
0.9096,0.508,0.016,0.005,0.8865,0.8635,0.4956,0.7634,0.015,0.006,0.7388,0.003,2.0,0.048,0.7598,0.007,0.5026,0.5126,0.041,0.9018,0.8098,0.8603,0.041,0.008,0.8873,0,0.009,0.823,0.058,0.4827,0.004,0.008,0.8359,0.003,0.6921,0.011,0.004,0.8042,0.015,0.047
0.8972,0.5069,0.013,0.008,0.887,0.8557,0.4817,0.7615,0.016,0.009,0.7361,0.008,2.0,0.058,0.7364,0.011,0.4978,0.5132,0.056,0.9013,0.824,0.8585,0.046,0.004,0.8794,4,0.015,0.8232,0.06,0.4989,0.002,0.007,0.8442,0.003,0.7046,0.014,0.002,0.8086,0.018,0.046
0.9079,0.4667,0.025,0.014,0.8643,0.8455,0.4631,0.7511,0.016,0.007,0.7158,0.01,2.0,0.073,0.7116,0.005,0.4698,0.4805,0.063,0.894,0.8073,0.8479,0.067,0.008,0.8779,8,0.009,0.8034,0.065,0.4645,0.004,0.006,0.8362,0.004,0.6734,0.017,0.01,0.8024,0.026,0.067
0.8799,0.4221,0.044,0.026,0.857,0.8332,0.4057,0.6938,0.038,0.016,0.6565,0.007,2.0,0.122,0.6603,0.014,0.4034,0.4029,0.122,0.8843,0.7713,0.8306,0.107,0.009,0.8608,12,0.018,0.7446,0.115,0.407,0.009,0.005,0.8071,0.007,0.6172,0.047,0.007,0.7541,0.042,0.116
0.8541,0.2935,0.105,0.056,0.8111,0.7805,0.2832,0.5942,0.071,0.031,0.5296,0.021,2.0,0.28,0.5346,0.063,0.2859,0.2777,0.271,0.8427,0.667,0.7659,0.274,0.017,0.8089,16,0.059,0.6667,0.286,0.2662,0.012,0.027,0.7451,0.019,0.4798,0.111,0.018,0.6776,0.134,0.273
0.7823,0.1214,0.31,0.143,0.7271,0.6521,0.1251,0.3999,0.244,0.105,0.3095,0.071,2.0,0.562,0.3064,0.151,0.128,0.1337,0.593,0.7919,0.5207,0.6427,0.567,0.043,0.7167,20,0.131,0.4961,0.584,0.1299,0.029,0.073,0.5853,0.05,0.2503,0.328,0.023,0.5329,0.386,0.598
0.6722,0.0389,0.591,0.303,0.5761,0.4652,0.0387,0.1932,0.501,0.272,0.1406,0.188,2.0,0.845,0.144,0.343,0.0399,0.0425,0.847,0.6842,0.3068,0.4805,0.836,0.119,0.5762,24,0.363,0.3123,0.858,0.0391,0.093,0.204,0.3865,0.127,0.1022,0.597,0.07,0.2921,0.69,0.85
0.5048,0.0048,0.876,0.589,0.4132,0.2791,0.0088,0.064,0.793,0.449,0.041,0.408,2.0,0.963,0.0355,0.6,0.0049,0.0079,0.98,0.5179,0.153,0.296,0.968,0.257,0.3942,28,0.578,0.1591,0.971,0.0088,0.187,0.405,0.2301,0.27,0.0195,0.847,0.174,0.1647,0.918,0.973
0.9097,0.5063,0.011,0.011,0.8838,0.8648,0.5046,0.7704,0.011,0.008,0.7314,0.006,4.0,0.046,0.7393,0.009,0.509,0.4844,0.054,0.9039,0.8197,0.8624,0.059,0.003,0.892,0,0.005,0.8089,0.056,0.5008,0.004,0.006,0.8463,0.006,0.6997,0.01,0.004,0.8235,0.023,0.043
0.8916,0.5021,0.021,0.012,0.8844,0.846,0.5019,0.7548,0.018,0.005,0.735,0.005,4.0,0.052,0.7351,0.012,0.5084,0.5135,0.049,0.9162,0.8165,0.8618,0.043,0.007,0.8779,4,0.012,0.8052,0.06,0.4815,0.007,0.005,0.8362,0.001,0.6907,0.015,0.002,0.8204,0.021,0.049
0.9008,0.4728,0.018,0.008,0.8827,0.8497,0.4835,0.7456,0.013,0.009,0.7209,0.003,4.0,0.063,0.7208,0.014,0.4636,0.4898,0.068,0.8896,0.7985,0.8539,0.059,0.004,0.8627,8,0.012,0.8056,0.043,0.4619,0.005,0.006,0.8321,0.005,0.6613,0.022,0.006,0.8073,0.021,0.06
0.8839,0.4141,0.045,0.019,0.8537,0.8367,0.3938,0.7004,0.024,0.008,0.656,0.013,4.0,0.117,0.6516,0.014,0.3956,0.4113,0.122,0.8923,0.7794,0.8219,0.123,0.01,0.8629,12,0.015,0.7566,0.114,0.4064,0.009,0.018,0.8125,0.009,0.6071,0.036,0.007,0.7645,0.048,0.123
0.8381,0.2993,0.106,0.043,0.8057,0.7548,0.2788,0.5793,0.076,0.038,0.5263,0.031,4.0,0.259,0.5434,0.053,0.2781,0.2732,0.27,0.8421,0.6719,0.7467,0.282,0.025,0.8218,16,0.039,0.6732,0.275,0.2834,0.016,0.035,0.7229,0.012,0.456,0.113,0.011,0.672,0.158,0.259
0.7779,0.1238,0.306,0.166,0.7361,0.6597,0.1374,0.4221,0.225,0.089,0.3379,0.068,4.0,0.559,0.3277,0.15,0.128,0.131,0.561,0.7866,0.5201,0.6565,0.556,0.046,0.7151,20,0.147,0.508,0.561,0.1411,0.033,0.069,0.6167,0.049,0.2578,0.296,0.026,0.5126,0.382,0.571
0.6632,0.0372,0.585,0.338,0.5763,0.4773,0.0384,0.213,0.495,0.255,0.1633,0.187,4.0,0.815,0.1507,0.342,0.0391,0.0471,0.845,0.6807,0.3084,0.4658,0.822,0.125,0.5753,24,0.302,0.3283,0.835,0.0493,0.068,0.18,0.3985,0.124,0.108,0.566,0.065,0.3362,0.671,0.832
0.5245,0.0071,0.83,0.599,0.4038,0.291,0.0085,0.0787,0.738,0.447,0.0535,0.376,4.0,0.973,0.0489,0.619,0.0093,0.0093,0.967,0.4967,0.1377,0.2985,0.967,0.276,0.4049,28,0.604,0.1472,0.967,0.0052,0.167,0.385,0.2442,0.248,0.0258,0.838,0.177,0.1431,0.897,0.96
0.9075,0.4989,0.015,0.011,0.8835,0.8651,0.5084,0.7625,0.01,0.006,0.744,0.006,6.0,0.051,0.7405,0.006,0.4936,0.4955,0.06,0.9086,0.8214,0.8702,0.054,0.005,0.8892,0,0.012,0.7996,0.042,0.5015,0.003,0.006,0.835,0.005,0.7098,0.016,0.003,0.8095,0.01,0.061
0.9094,0.4915,0.01,0.011,0.8881,0.8509,0.5062,0.7729,0.012,0.005,0.7418,0.004,6.0,0.058,0.7443,0.011,0.4947,0.4875,0.05,0.9037,0.8298,0.8643,0.052,0.008,0.8829,4,0.011,0.8138,0.054,0.4804,0.002,0.003,0.839,0.009,0.6865,0.014,0.005,0.8131,0.023,0.041
0.8958,0.4688,0.018,0.007,0.8801,0.8596,0.4693,0.7511,0.017,0.006,0.7062,0.003,6.0,0.066,0.7309,0.013,0.4802,0.4693,0.054,0.8865,0.8038,0.8518,0.081,0.011,0.8699,8,0.012,0.8008,0.064,0.471,0.007,0.009,0.8274,0.007,0.6816,0.014,0.006,0.8109,0.022,0.064
0.884,0.4328,0.037,0.015,0.8525,0.8125,0.4265,0.697,0.026,0.016,0.6634,0.011,6.0,0.09,0.6768,0.016,0.4137,0.4186,0.089,0.8815,0.7628,0.8255,0.095,0.011,0.8658,12,0.014,0.7477,0.102,0.4169,0.012,0.01,0.7972,0.004,0.6291,0.038,0.006,0.7736,0.046,0.097
0.8589,0.3272,0.087,0.055,0.8201,0.7571,0.3111,0.6213,0.054,0.04,0.5591,0.033,6.0,0.22,0.5623,0.041,0.3177,0.3093,0.223,0.8339,0.6936,0.7574,0.207,0.021,0.8119,16,0.053,0.6758,0.25,0.3135,0.006,0.024,0.7292,0.015,0.4777,0.086,0.007,0.6695,0.119,0.194
0.7825,0.1938,0.252,0.138,0.7137,0.6482,0.1819,0.4194,0.215,0.093,0.3561,0.075,6.0,0.494,0.3696,0.154,0.1737,0.1687,0.471,0.7825,0.5041,0.6542,0.485,0.058,0.7149,20,0.138,0.5321,0.453,0.1826,0.024,0.074,0.6121,0.042,0.3201,0.258,0.029,0.5305,0.314,0.427
0.6593,0.08,0.518,0.3,0.5761,0.4849,0.0682,0.2353,0.451,0.212,0.2033,0.178,6.0,0.736,0.1825,0.306,0.0735,0.0732,0.741,0.6766,0.3635,0.4781,0.753,0.108,0.6075,24,0.3,0.3394,0.738,0.0758,0.079,0.177,0.4355,0.096,0.146,0.497,0.084,0.3434,0.599,0.721
0.5263,0.0165,0.771,0.553,0.4353,0.3114,0.0144,0.1025,0.691,0.435,0.0838,0.359,6.0,0.92,0.0653,0.558,0.0192,0.0144,0.928,0.5141,0.1781,0.2874,0.927,0.232,0.4447,28,0.54,0.1855,0.927,0.019,0.167,0.375,0.2575,0.23,0.0465,0.745,0.156,0.1886,0.856,0.936
0.9049,0.505,0.016,0.01,0.8883,0.8686,0.5052,0.7592,0.013,0.008,0.7487,0.004,8.0,0.044,0.743,0.008,0.5045,0.4983,0.039,0.9101,0.8239,0.8711,0.05,0.004,0.8979,0,0.007,0.8146,0.039,0.5091,0.004,0.006,0.835,0.002,0.6983,0.011,0.004,0.8164,0.028,0.051
0.8984,0.5007,0.015,0.014,0.8828,0.858,0.4928,0.761,0.008,0.009,0.7363,0.002,8.0,0.05,0.7339,0.008,0.5027,0.5036,0.059,0.9102,0.8152,0.8505,0.055,0.004,0.8887,4,0.012,0.8088,0.06,0.5048,0.003,0.003,0.8464,0.007,0.6867,0.017,0.003,0.8264,0.024,0.043
0.8879,0.4668,0.023,0.007,0.8768,0.8575,0.468,0.7586,0.008,0.016,0.721,0.007,8.0,0.07,0.7107,0.01,0.4836,0.4863,0.056,0.8943,0.8022,0.8454,0.049,0.004,0.8783,8,0.006,0.7971,0.056,0.4715,0.003,0.003,0.8094,0.007,0.6851,0.018,0.004,0.8185,0.029,0.06
0.8876,0.4291,0.025,0.02,0.8659,0.8325,0.4358,0.7069,0.033,0.012,0.6779,0.013,8.0,0.091,0.6889,0.016,0.4492,0.4367,0.091,0.8814,0.7851,0.8237,0.091,0.005,0.856,12,0.021,0.7591,0.089,0.4303,0.006,0.009,0.8133,0.011,0.6455,0.024,0.009,0.7766,0.038,0.088
0.8386,0.3467,0.075,0.043,0.8209,0.7614,0.3658,0.6461,0.042,0.026,0.5862,0.033,8.0,0.162,0.5763,0.042,0.3517,0.3402,0.175,0.8643,0.7013,0.7774,0.184,0.012,0.8275,16,0.044,0.6875,0.157,0.3724,0.011,0.022,0.7479,0.013,0.5449,0.072,0.01,0.6992,0.08,0.176
0.7599,0.242,0.189,0.144,0.7439,0.6641,0.2462,0.4642,0.169,0.073,0.4391,0.061,8.0,0.338,0.4519,0.105,0.2412,0.2417,0.336,0.8041,0.5788,0.6577,0.344,0.035,0.7365,20,0.115,0.5348,0.333,0.2353,0.034,0.061,0.6209,0.042,0.3744,0.192,0.03,0.5621,0.235,0.324
0.67,0.1272,0.414,0.279,0.5924,0.5033,0.1165,0.2858,0.355,0.189,0.2308,0.174,8.0,0.612,0.2616,0.234,0.1271,0.1156,0.609,0.6824,0.4156,0.526,0.611,0.108,0.613,24,0.247,0.3934,0.602,0.1285,0.096,0.163,0.4608,0.104,0.2101,0.421,0.061,0.3947,0.481,0.592
0.5495,0.0429,0.707,0.506,0.4367,0.3258,0.0461,0.1395,0.625,0.374,0.1084,0.338,8.0,0.823,0.1016,0.484,0.0476,0.0446,0.83,0.5384,0.2223,0.3451,0.823,0.238,0.4566,28,0.493,0.2106,0.82,0.0516,0.141,0.323,0.2896,0.198,0.0801,0.681,0.156,0.211,0.758,0.818
0.9085,0.5016,0.009,0.01,0.8778,0.8587,0.4934,0.7665,0.015,0.01,0.753,0.007,10.0,0.053,0.7282,0.005,0.4843,0.5193,0.052,0.9037,0.8207,0.8662,0.052,0.001,0.8791,0,0.007,0.8267,0.048,0.4872,0.003,0.003,0.8473,0.009,0.6953,0.015,0.008,0.8251,0.02,0.054
0.9143,0.491,0.009,0.016,0.881,0.8575,0.4694,0.7706,0.01,0.004,0.742,0.003,10.0,0.049,0.741,0.009,0.4887,0.5073,0.053,0.9015,0.8059,0.8688,0.052,0.009,0.8886,4,0.012,0.8048,0.055,0.5072,0.004,0.005,0.8388,0.002,0.7011,0.017,0.006,0.8087,0.023,0.047
0.8972,0.4683,0.02,0.011,0.8726,0.8479,0.499,0.7433,0.016,0.012,0.7238,0.006,10.0,0.059,0.7227,0.01,0.4722,0.4936,0.061,0.8871,0.7998,0.8474,0.057,0.003,0.8839,8,0.007,0.8021,0.054,0.49,0.004,0.006,0.8325,0.002,0.6853,0.023,0.004,0.8141,0.027,0.064
0.8934,0.4618,0.034,0.016,0.8631,0.8222,0.4469,0.7316,0.023,0.013,0.6928,0.01,10.0,0.073,0.6713,0.013,0.4512,0.4425,0.073,0.8802,0.7702,0.8278,0.081,0.013,0.8665,12,0.015,0.781,0.084,0.4513,0.003,0.015,0.8166,0.008,0.6405,0.03,0.01,0.7845,0.033,0.06
0.8455,0.3841,0.061,0.043,0.817,0.7697,0.3867,0.65,0.054,0.022,0.6039,0.029,10.0,0.136,0.6184,0.021,0.366,0.3889,0.153,0.8663,0.7276,0.7854,0.131,0.016,0.8055,16,0.032,0.6919,0.133,0.3817,0.013,0.026,0.7603,0.02,0.5631,0.069,0.012,0.7062,0.072,0.14
0.7864,0.2802,0.154,0.085,0.7503,0.6747,0.2952,0.5159,0.139,0.076,0.494,0.065,10.0,0.298,0.473,0.106,0.27,0.2811,0.29,0.7845,0.6024,0.6877,0.275,0.031,0.7362,20,0.086,0.5985,0.26,0.2778,0.028,0.064,0.6291,0.05,0.4277,0.148,0.039,0.5878,0.177,0.274
0.6912,0.1653,0.348,0.234,0.6167,0.5324,0.1779,0.3529,0.278,0.205,0.3196,0.16,10.0,0.491,0.2953,0.224,0.1732,0.1734,0.473,0.7009,0.4396,0.5503,0.479,0.098,0.6191,24,0.214,0.4126,0.468,0.1744,0.055,0.136,0.4594,0.082,0.2701,0.308,0.051,0.4352,0.377,0.488
0.5532,0.0857,0.583,0.452,0.4605,0.3748,0.0896,0.174,0.51,0.369,0.1652,0.296,10.0,0.689,0.1533,0.42,0.0836,0.0846,0.698,0.5674,0.2665,0.3554,0.69,0.2,0.4799,28,0.433,0.2504,0.689,0.0902,0.131,0.298,0.2984,0.196,0.1243,0.573,0.137,0.255,0.63,0.685
0.9063,0.4951,0.013,0.013,0.8913,0.8556,0.5031,0.7751,0.012,0.009,0.7395,0.005,12.0,0.046,0.7401,0.009,0.5047,0.4975,0.035,0.9018,0.8307,0.8646,0.056,0.004,0.8825,0,0.01,0.8015,0.048,0.5015,0.003,0.002,0.8359,0.005,0.6941,0.015,0.004,0.8134,0.022,0.046
0.9038,0.4853,0.011,0.005,0.8776,0.8626,0.5047,0.7696,0.01,0.006,0.7417,0.005,12.0,0.052,0.7487,0.01,0.4877,0.5176,0.064,0.9019,0.8203,0.8682,0.043,0.005,0.882,4,0.015,0.8141,0.054,0.4976,0.005,0.005,0.8482,0.005,0.7088,0.016,0.004,0.8132,0.012,0.054
0.8907,0.4762,0.026,0.012,0.8833,0.8572,0.485,0.7584,0.02,0.01,0.714,0.004,12.0,0.065,0.7269,0.011,0.4954,0.4769,0.042,0.9022,0.7944,0.8454,0.044,0.003,0.8629,8,0.005,0.8046,0.05,0.477,0.004,0.001,0.829,0.006,0.6923,0.013,0.001,0.8197,0.015,0.061
0.8937,0.4544,0.023,0.018,0.8516,0.8364,0.4662,0.7299,0.019,0.009,0.7055,0.01,12.0,0.089,0.7115,0.016,0.4657,0.4531,0.079,0.8783,0.7784,0.8303,0.072,0.004,0.861,12,0.01,0.7828,0.069,0.4626,0.006,0.01,0.8259,0.011,0.6615,0.027,0.01,0.7882,0.023,0.077
0.8615,0.3916,0.049,0.029,0.8341,0.7942,0.3901,0.6789,0.036,0.026,0.6328,0.019,12.0,0.128,0.6375,0.028,0.4079,0.4049,0.129,0.8597,0.7227,0.7865,0.122,0.014,0.8299,16,0.027,0.7197,0.128,0.3921,0.014,0.026,0.7514,0.018,0.5877,0.059,0.011,0.7224,0.066,0.116
0.7913,0.3117,0.137,0.088,0.762,0.7119,0.3054,0.5242,0.127,0.062,0.5225,0.054,12.0,0.218,0.5103,0.077,0.3118,0.3193,0.231,0.8175,0.6346,0.6988,0.231,0.028,0.7419,20,0.074,0.6033,0.225,0.3296,0.025,0.047,0.6618,0.033,0.4725,0.126,0.021,0.6103,0.142,0.235
0.6765,0.2171,0.268,0.194,0.6437,0.5626,0.2126,0.4102,0.24,0.132,0.3853,0.107,12.0,0.422,0.3664,0.178,0.2214,0.2245,0.375,0.7115,0.4768,0.5717,0.371,0.077,0.6378,24,0.167,0.4597,0.392,0.1962,0.061,0.117,0.5339,0.09,0.3241,0.261,0.063,0.4927,0.31,0.398
0.5693,0.1137,0.463,0.361,0.4704,0.4229,0.1161,0.2347,0.443,0.31,0.2355,0.224,12.0,0.591,0.2193,0.345,0.1328,0.1293,0.577,0.5681,0.3005,0.4049,0.587,0.189,0.4973,28,0.356,0.3031,0.618,0.1187,0.134,0.256,0.3575,0.182,0.1936,0.449,0.153,0.3015,0.502,0.611
